file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),predicted_atrial_prevalence,0.499772,0.499772,0.0,50.0,50.0,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,accuracy,0.8163400000000001,0.8163400000000001,0.0,81.6,81.6,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,adjusted_rand_index,0.4005366131460596,0.4005366131460596,0.0,0.401,0.401,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,brier_score,0.1290105616614828,0.1290105616614828,0.0,0.129,0.129,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,expected_calibration_error,0.0467106690281138,0.0467106690281138,0.0,0.0467,0.0467,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1845862929654054,0.1845862929654054,0.0,18.5,18.5,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,mean_posterior_entropy,0.3699875546766858,0.3699875546766858,0.0,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.4997459999999999,0.4997459999999999,0.0,50.0,50.0,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=1.0,method=Associative latent class model,accuracy,0.733876,0.733876,0.0,73.4,73.4,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=1.0,method=Associative latent class model,adjusted_rand_index,0.2213014934933391,0.2213014934933391,0.0,0.221,0.221,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=1.0,method=Associative latent class model,brier_score,0.1896966038724677,0.1896966038724677,0.0,0.1897,0.1897,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=1.0,method=Associative latent class model,expected_calibration_error,0.122313410483607,0.122313410483607,0.0,0.1223,0.1223,False
